time,value
1989-09-30 24:00,6339.000000
1989-10-01 24:00,6330.000000
1989-10-02 24:00,6328.000000
1989-10-03 24:00,6352.000000
1989-10-04 24:00,6343.000000
1989-10-05 24:00,6362.000000
1989-10-06 24:00,6338.000000
1989-10-07 24:00,6371.000000
1989-10-08 24:00,6338.000000
1989-10-09 24:00,6340.000000
1989-10-10 24:00,6354.000000
1989-10-11 24:00,6052.000000
1989-10-12 24:00,6191.000000
1989-10-13 24:00,6329.000000
1989-10-14 24:00,6316.000000
1989-10-15 24:00,5960.000000
1989-10-16 24:00,6098.000000
1989-10-17 24:00,6344.000000
1989-10-18 24:00,6341.000000
1989-10-19 24:00,6337.000000
1989-10-20 24:00,6349.000000
1989-10-21 24:00,5572.000000
1989-10-22 24:00,6341.000000
1989-10-23 24:00,6338.000000
1989-10-24 24:00,5807.000000
1989-10-25 24:00,6371.000000
1989-10-26 24:00,6199.000000
1989-10-27 24:00,6372.000000
1989-10-28 24:00,6389.000000
1989-10-29 24:00,6681.000000
1989-10-30 24:00,4722.000000
1989-10-31 24:00,2128.000000
1989-11-01 24:00,5368.000000
1989-11-02 24:00,4643.000000
1989-11-03 24:00,4829.000000
1989-11-04 24:00,5457.000000
1989-11-05 24:00,6318.000000
1989-11-06 24:00,6319.000000
1989-11-07 24:00,6324.000000
1989-11-08 24:00,6340.000000
1989-11-09 24:00,6379.000000
1989-11-10 24:00,6384.000000
1989-11-11 24:00,6389.000000
1989-11-12 24:00,6391.000000
1989-11-13 24:00,6390.000000
1989-11-14 24:00,6396.000000
1989-11-15 24:00,6391.000000
1989-11-16 24:00,6401.000000
1989-11-17 24:00,5355.000000
1989-11-18 24:00,5292.000000
1989-11-19 24:00,6091.000000
1989-11-20 24:00,5268.000000
1989-11-21 24:00,6343.000000
1989-11-22 24:00,6346.000000
1989-11-23 24:00,6312.000000
1989-11-24 24:00,6327.000000
1989-11-25 24:00,6332.000000
1989-11-26 24:00,6345.000000
1989-11-27 24:00,6331.000000
1989-11-28 24:00,6324.000000
1989-11-29 24:00,6333.000000
1989-11-30 24:00,6338.000000
1989-12-01 24:00,6336.000000
1989-12-02 24:00,6332.000000
1989-12-03 24:00,6319.000000
1989-12-04 24:00,6333.000000
1989-12-05 24:00,6324.000000
1989-12-06 24:00,6317.000000
1989-12-07 24:00,6320.000000
